attr_id,title,description,country,currency
936,Eurozone Retail Sales YoY,"Retail Sales measure the change in the total value of inflation-adjusted sales at the retail level. It is the foremost indicator of consumer spending, which accounts for the majority of overall economic activity.\r\nA higher than expected reading should be taken as positive/bullish for the EUR while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
1,U.S. ADP Nonfarm Employment Change,"The ADP National Employment Report is a measure of the monthly change in non-farm, private employment, based on the payroll data of approximately 400,000 U.S. business clients. The release, two days ahead of government data, is a good predictor of the government's non-farm payroll report. The change in this indicator can be very volatile.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
4,Japan All Industries Activity Index MoM,"The All Industries Activity Index measures the monthly change in overall production by all sectors of the Japanese economy. The index closely follows Japanese gross domestic product (GDP) and overall growth figures.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
5,New Zealand ANZ Commodity Price Index MoM,"The ANZ Commodity Price Index measures the change in the selling price of exported commodities. Commodities exports comprise a major part of New Zealand's economy. The data also has an effect on the country's trade balance. The report is released monthly by ANZ, one of New Zealand's leading banking and financial services firms.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
6,Japan Average Cash Earnings YoY,"Average Cash Earnings measures the change in employment income, including bonuses and overtime pay. Higher income is positive for consumption.A higher than expected reading should be taken as positive/bullish for the JPY,\r\nwhile a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
7,U.K. Average Earnings Index +Bonus,"The Average Earnings Index measures change in the price businesses and the government pay for labor, including bonuses. The Average Earnings figure gives us a good indication of personal income growth during the given month.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
8,U.S. Average Hourly Earnings MoM,"Average Hourly Earnings measures the change in the price businesses pay for labor, not including the agricultural sector.\r\nA higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
9,U.K. Gross Mortgage Approvals,"The U.K. Finance Mortgage Approvals, previously reported by the British Bankers' Association, reports the number of new mortgages approved by high street banks during the prior month. It comprises more than half of the total U.K. mortgage market and thus provides information about the U.K residential property market.Figures referred to as ‘High Street Banks’ by UK Finance in this release relate to the UK activity of 21 institutions across the banking groups of Barclays, HSBC Bank, Lloyds Banking Group, Royal Bank of Scotland Group, Santander UK, TSB and Virgin Money.A reading that is stronger than forecast is generally supportive (bullish) for the GBP, while a weaker than forecast reading is generally negative (bearish) for the GBP.",United Kingdom,GBP
10,U.S. Fed Beige Book,"The Federal Reserve's Beige Book is a report on current economic conditions in each of the 12 Federal districts in the U.S. \r\nIt gives a picture of economic trends and challenges in the U.S. It is released 8 times a year, 2 weeks before each Federal Open Market Committee meeting. The report is used by the FOMC in their decision on short-term interest rates.An optimistic outlook should be taken as positive/bullish for the USD, while a pessimistic outlook should be taken as negative/bearish for the USD.",United States,USD
15,Bank of England Inflation Report,The Bank of England (BOE) Inflation Report sets out the detailed economic analysis and inflation projections upon which the bank's Monetary Policy Committee bases its interest rate decisions and presents an assessment of the prospects for U.K. inflation over the following two years. The report is released quarterly.,United Kingdom,GBP
18,U.K. BRC Retail Sales Monitor YoY,"The British Retail Consortium (BRC) Retail Sales Monitor measures the change in the value of same-store sales in BRC-member retail outlets in the U.K.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
19,U.K. BRC Shop Price Index YoY,"The British Retail Consortium (BRC) Shop Price Index measures price changes in BRC-member retail outlets in the U.K.\r\nA higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
21,Japan BSI Large Manufacturing Conditions,"The Business Sentiment Index (BSI) Large Manufacturing Conditions Index measures business sentiment in manufacturing. The data is derived from a survey of large Japanese manufacturers. It is a key indicator of the strength of the Japanese economy, which relies heavily on the manufacturing industry. A level above zero indicates improving conditions; a level below indicates worsening conditions. This survey may help to predict the Bank of Japan's Tankan Large Manufacturing Index which is generally released about a week later.\r\nA higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
23,New Zealand Building Consents MoM,"Building Consents (also known as Building Permits) measures the change in the number of new building consents issued by the government. Building consents are a key indicator of demand in the housing market.A higher than expected reading should be taken as positive/bullish for the NZD, while a lower than expected reading should be taken as negative/bearish for the NZD.",New Zealand,NZD
24,Canada Building Permits MoM,"Building Permits measures the change in the number of new building permits issued by the government. Building permits are a key indicator of demand in the housing market.\r\nA higher than expected reading should be taken as positive/bullish for the CAD, while a lower than expected reading should be taken as negative/bearish for the CAD.",Canada,CAD
25,U.S. Building Permits,"Building Permits measures the change in the number of new building permits issued by the government. Building permits are a key indicator of demand in the housing market.\r\nA higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
27,New Zealand ANZ Business Confidence,"The Australia and New Zealand Banking Group Limited (ANZ) Business Confidence measures the current business conditions in New Zealand. It helps to analyze the economic situation in the short term. A rising trend indicates an increase in business investment which may lead to higher levels of output.\r\nIt is concluded from a monthly survey of about 1,500 businesses which asks respondents to rate the year ahead economic outlook.\r\nAbove 50% indicates optimism, below indicates pessimism.",New Zealand,NZD
29,U.S. Business Inventories MoM,"Business Inventories measures the change in the worth of unsold goods held by manufacturers, wholesalers, and retailers. A high reading can indicate a lack of consumer demand.A higher than expected reading should be taken as negative/bearish for the USD, while a lower than expected reading should be taken as positive/bullish for the USD.",United States,USD
30,U.K. Business Investment QoQ,"Business Investment measures the change in the total inflation-adjusted value of capital expenditure made by companies in the private sector.A higher than expected reading should be taken as positive/bullish for the GBP,\r\nwhile a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
31,U.S. Capacity Utilization Rate,"The Capacity Utilization Rate is the percentage of production capacity being utilized in the U.S.(available resources includes factories, mines and utilities).\r\nCapacity Utilization reflects overall growth and demand in the economy. It can also act as a leading indicator of consumer price inflation.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
32,Japan Capital Spending YoY,"Capital Spending measures the change in the overall value of capital investment made by companies. It is a leading indicator of business conditions and economic health. The number measures the change from the reported quarter to the same quarter a year earlier.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
33,U.K. CBI Distributive Trades Survey,"The Confederation of British Industry (CBI) Distributive Trades Survey (DTS) measures \r\nthe health of the retail sector. The reading is compiled from a survey of about 150 retail and wholesale companies. It includes measures of sales activity across the distributive trades. It is a leading indicator of consumer spending. The figure is the difference between the percentage of retailers reporting an increase in sales and those reporting a decrease.A higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
34,U.K. CBI Industrial Trends Orders,"The Confederation of British Industry (CBI) Industrial Trends Orders measures the economic expectations of the manufacturing executives in the U.K. It is a leading indicator of business conditions.\r\nA level above zero indicates order volume is expected to increase; a level below zero indicates expectations are for lower volumes. The reading is compiled from a survey of about 550 manufacturers.\r\nA higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
35,Japan Producer Price Index (PPI) YoY,"The Corporate Goods Price Index (CGPI) measures the change in the selling prices of goods purchased by Japanese corporations. The CGPI measures the change in the rate of inflation in Japan from the perspective of the manufacturer and is correlated with consumer price inflation.A higher than expected reading should be taken as positive/bullish for the JPY, while a lower than expected reading should be taken as negative/bearish for the JPY.",Japan,JPY
37,U.S. Chicago Fed President Evans Speaks,"Federal Reserve Bank of Chicago President and Federal Open Market Committee (FOMC) voting member (September 2007 - December 2007, 2009 and 2011) Charles Evans is to speak. FOMC members are responsible for setting the benchmark interest rate and their speeches are closely watched for indications on the future possible direction of monetary policy.His comments may determine a short-term positive or negative trend.",United States,USD
38,U.S. Chicago Purchasing Managers Index (PMI),"The Chicago Purchasing Managers' Index (PMI) determines the economic health of the manufacturing sector in Chicago region.\r\nA reading above 50 indicates expansion of the manufacturing sector; a reading below indicates contraction. The Chicago PMI can be of some help in forecasting the ISM manufacturing PMI.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
39,U.K. Claimant Count Change,"Claimant Count Change measures the change in the number of unemployed people in the U.K. during the reported month. A rising trend indicates weakness in the labor market, which has a trickle-down effect on consumer spending and economic growth.A higher than expected reading should be taken as negative/bearish for the GBP, while lower than expected reading should be taken as positive/bullish for the GBP.",United Kingdom,GBP
40,Australia Company Gross Operating Profits QoQ,"Company Gross Operating Profits measures the change in the total value of profits earned by private, non-financial corporations, with more than 20 employees.\r\nIt is a leading indicator of business conditions and economic health. \r\nA higher than expected reading should be taken as positive/bullish for the AUD, while a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
44,U.K. Construction Purchasing Managers Index (PMI),"The Chartered Institute of Purchasing and Supply (CIPS) Construction Purchasing Manager's Index (PMI) measures the activity level of purchasing managers in the construction industry. A reading above 50 indicates expansion in the construction industry; a reading below indicates contraction. It gives an indication about the health of the construction section in the UK.\r\nTraders watch these surveys closely as purchasing managers usually have early access to data about their company’s performance, which can be a leading indicator of overall economic performance. \r\nA higher than expected reading should be taken as positive/bullish for the GBP, while a lower than expected reading should be taken as negative/bearish for the GBP.",United Kingdom,GBP
45,U.S. Construction Spending MoM,"The Construction Spending index measures the change in the total amount spent on construction. The data is subject to large revisions and as such, this report rarely has any market impact.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
46,Australia Construction Work Done QoQ,"Construction Work Done measures the change in the total value of completed construction projects. It provides an early indication of trends in building and engineering construction activity. The data is an estimate, based on a survey of approximately 80% of the value of both building and engineering work done during the quarter.A higher than expected reading should be taken as positive/bullish for the AUD, while a lower than expected reading should be taken as negative/bearish for the AUD.",Australia,AUD
48,U.S. CB Consumer Confidence,"Conference Board (CB) Consumer Confidence measures the level of consumer confidence in economic activity.\r\nIt is a leading indicator as it can predict consumer spending, which plays a major role in overall economic activity. Higher readings point to higher consumer optimism.\r\nA higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
49,Eurozone Consumer Confidence,"Consumer Confidence measures the level of consumer confidence in economic activity. It is a leading indicator as it can predict consumer spending, which plays a major role in overall economic activity. The reading is compiled from a survey of about 2,300 consumers in the euro zone which asks respondents to evaluate future economic prospects. Higher readings point to higher consumer optimism.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
